FRAME_NR,ROBOT_ID,ODOMETRY X,ODOMETRY Y,ODOMETRY THETA,POSITION X,POSITION Y,POSITION THETA,HAS GOAL,X_MIN,X_MAX,Y_MIN,Y_MAX,TIMESTAMP
164,0,2.2755313639856696,3.4735993082765155,0.8862686607638924,0.5369156180600259,1.2997179517613102,1.5973930651452464,False,0,0,0,0,10.744212865829468
165,0,2.28709881591323,3.4883441770725105,0.8906529572082619,0.5358889273688112,1.3211591958808924,1.6017773615896154,False,0,0,0,0,10.781961917877197
166,0,2.300537877528377,3.5046175901204144,0.8906700630134716,0.5410741504203068,1.3448284978578349,1.5966696820487576,False,0,0,0,0,10.819586277008057
167,0,2.31309908363063,3.5201806793833934,0.8908284681692612,0.5405355165214234,1.3648210844757216,1.5968280872045473,False,0,0,0,0,10.857738018035889
168,0,2.324088522305537,3.533303626712843,0.8892098582413054,0.5429328009496154,1.383774519677,1.5930982959011577,False,0,0,0,0,10.895299434661865
169,0,2.3338224943341985,3.5467229682323884,0.8863851715401565,0.5451519182959843,1.4002085939787363,1.599219779356944,False,0,0,0,0,10.932761907577515
170,0,2.34528970183778,3.561812330454503,0.886326997084463,0.5474580161638319,1.4143223614832552,1.601770500602049,False,0,0,0,0,10.970467805862427
171,0,2.3573893632206233,3.576230371696625,0.8872940462527021,0.5477997315635679,1.4325240508897505,1.5950869332964184,False,0,0,0,0,11.008340120315552
172,0,2.368281073657287,3.5904537882863403,0.8845321139672452,0.547017638270495,1.4481687563683907,1.5923250010109613,False,0,0,0,0,11.045812606811523
173,0,2.3771294915668677,3.602577077023705,0.885177856912159,0.5479364280457056,1.4647843254556356,1.5984349154846127,False,0,0,0,0,11.08329463005066
174,0,2.3857677365940217,3.6146442173369877,0.8849412874928333,0.5465734355270289,1.4795619234973885,1.598198346065287,False,0,0,0,0,11.120648622512817
175,0,2.396148763662978,3.6281621142421776,0.8857612455340312,0.5464380029336032,1.4998058728966237,1.5965002357933438,False,0,0,0,0,11.158466339111328
176,0,2.404941585736283,3.639764547346989,0.8874852864837021,0.5451839680856777,1.5084086970455075,1.5982454678094773,False,0,0,0,0,11.19610857963562
177,0,2.414596174941736,3.6520563094380982,0.8858701347770145,0.5455692605317529,1.526666937890754,1.591860405256715,False,0,0,0,0,11.233818531036377
178,0,2.4232672525112315,3.6627215839778082,0.8851939439467388,0.5455986863889478,1.5447395274521782,1.5970238091697242,False,0,0,0,0,11.271518468856812
179,0,2.432931459987171,3.6747157822080116,0.8853009106046589,0.5451444215552991,1.558200523278067,1.5975831907014792,False,0,0,0,0,11.309366941452026
180,0,2.440671609538708,3.6848094466300747,0.8827561776751486,0.5441381099978932,1.5706905130774784,1.6047552670704897,False,0,0,0,0,11.347403049468994
181,0,2.4499938330897026,3.696083731759346,0.8799748255235352,0.545,1.586,1.5947,False,0,0,0,0,11.385929107666016
182,0,2.459132345195432,3.7073699980392942,0.8772743566342147,0.5444781184049999,1.6023136048343254,1.5917138946165552,False,0,0,0,0,11.423991441726685
183,0,2.4666386638787112,3.7173362622360204,0.8765936559448049,0.5447308658488436,1.6114848469572791,1.5802759002814695,False,0,0,0,0,11.461737394332886
184,0,2.474713150125952,3.7282286553008883,0.8783709249781995,0.5456147257787253,1.6244619912558715,1.583544035329647,False,0,0,0,0,11.499527931213379
185,0,2.4819613994101335,3.7374634983541597,0.880270323935689,0.5451485547951433,1.6361923846217514,1.5854434342871362,False,0,0,0,0,11.536995649337769
186,0,2.489993532937977,3.7478454845578226,0.8812124725079815,0.5439222614291116,1.6518180256999409,1.5822152768880955,False,0,0,0,0,11.57491421699524
187,0,2.4978820936338706,3.7579323501838604,0.8786226908308076,0.5427601901065313,1.6629345425420876,1.5800773290145789,False,0,0,0,0,11.613004446029663
188,0,2.504533532521338,3.766393145981323,0.8763372310349672,0.5446543930702371,1.6766122301574071,1.589230899271942,False,0,0,0,0,11.650686979293823
189,0,2.511990455848009,3.7760709995835056,0.8751545476901827,0.544777048624841,1.688550440880163,1.5911392066817478,False,0,0,0,0,11.688338279724121
190,0,2.518344719979054,3.7843751217782926,0.8722074441034804,0.5440411902498059,1.7005654238833006,1.5881921030950454,False,0,0,0,0,11.72657322883606
191,0,2.5249658098744514,3.792400663088322,0.8710043920038064,0.544943333361127,1.7130037693703448,1.569696947900326,False,0,0,0,0,11.764988660812378
192,0,2.533144611221606,3.8027455661528173,0.8718947372012612,0.5435726334261802,1.7232625718203691,1.5827499012604405,False,0,0,0,0,11.803772687911987
193,0,2.540104565647822,3.8114849043055314,0.8710647839169494,0.5447142750894616,1.735346540466641,1.574590512454783,False,0,0,0,0,11.842572450637817
194,0,2.545455526204714,3.8193121517497715,0.8726584867127238,0.5440920210744196,1.7441543847956802,1.5776937027957747,False,0,0,0,0,11.880281448364258
